PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Cabin_Codes,Title,Total_Members,Age_Group,Fare_Group,Age_Class,fare_per_person,Alone
1,0,3,0,1,0,0,0,0,1,2,0,66,3,0
2,1,1,1,1,0,1,1,2,1,5,3,38,35,0
3,1,3,1,0,0,0,0,1,0,3,0,78,7,1
4,1,1,1,1,0,0,1,2,1,5,3,35,26,0
5,0,3,0,0,0,0,0,0,0,5,1,105,8,1
6,0,3,0,0,0,2,0,0,0,4,1,96,8,1
7,0,1,0,0,0,0,2,0,0,6,3,54,51,1
8,0,3,0,3,1,0,0,3,4,0,2,6,4,0
9,1,3,1,0,2,0,0,2,2,3,1,81,3,0
10,1,2,1,1,0,1,0,2,1,1,2,28,15,0
11,1,3,1,1,1,0,3,1,2,0,2,12,5,0
12,1,1,1,0,0,0,1,1,0,6,2,58,26,1
13,0,3,0,0,0,0,0,0,0,1,1,60,8,1
14,0,3,0,1,5,0,0,0,6,5,2,117,4,0
15,0,3,1,0,0,0,0,1,0,1,0,42,7,1
16,1,2,1,0,0,0,0,2,0,6,2,110,16,1
17,0,3,0,4,1,2,0,3,5,0,2,6,4,0
18,1,2,0,0,0,0,0,0,0,4,1,64,13,1
19,0,3,1,1,0,0,0,2,1,4,2,93,9,0
20,1,3,1,0,0,1,0,2,0,5,0,114,7,1
21,0,2,0,0,0,0,0,0,0,5,2,70,26,1
22,1,2,0,0,0,0,4,0,0,5,1,68,13,1
23,1,3,1,0,0,2,0,1,0,1,1,45,8,1
24,1,1,0,0,0,0,5,0,0,3,3,28,35,1
25,0,3,1,3,1,0,0,1,4,0,2,24,4,0
26,1,3,1,1,5,0,0,2,6,5,2,114,4,0
27,0,3,0,0,0,1,0,0,0,4,0,96,7,1
28,0,1,0,3,2,0,1,0,5,1,3,19,43,0
29,1,3,1,0,0,2,0,1,0,2,0,63,7,1
30,0,3,0,0,0,0,0,0,0,4,0,96,7,1
31,0,1,0,0,0,1,0,4,0,5,2,40,27,1
32,1,1,1,1,0,1,6,2,1,5,3,38,73,0
33,1,3,1,0,0,2,0,1,0,2,0,63,7,1
34,0,2,0,0,0,0,0,0,0,6,1,132,10,1
35,0,1,0,1,0,1,0,0,1,3,3,28,41,0
36,0,1,0,1,0,0,0,0,1,6,3,42,26,0
37,1,3,0,0,0,1,0,0,0,4,0,96,7,1
38,0,3,0,0,0,0,0,0,0,2,1,63,8,1
39,0,3,1,2,0,0,0,1,2,1,2,54,6,0
40,1,3,1,1,0,1,0,1,1,1,1,42,5,0
41,0,3,1,1,0,0,0,2,1,5,1,120,4,0
42,0,2,1,1,0,0,0,2,1,3,2,54,10,0
43,0,3,0,0,0,1,0,0,0,4,0,96,7,1
44,1,2,1,1,2,1,0,1,3,0,3,6,10,0
45,1,3,1,0,0,2,0,1,0,1,0,57,7,1
46,0,3,0,0,0,0,0,0,0,4,1,96,8,1
47,0,3,0,1,0,2,0,0,1,4,2,96,7,0
48,1,3,1,0,0,2,0,1,0,2,0,63,7,1
49,0,3,0,2,0,1,0,0,2,4,2,96,7,0
50,0,3,1,1,0,0,0,2,1,1,2,54,8,0
51,0,3,0,4,1,0,0,3,5,0,3,21,6,0
52,0,3,0,0,0,0,0,0,0,2,0,63,7,1
53,1,1,1,1,0,1,4,2,1,6,3,49,38,0
54,1,2,1,1,0,0,0,2,1,3,2,58,13,0
55,0,1,0,0,1,1,6,0,1,6,3,65,30,0
56,1,1,0,0,0,0,1,0,0,4,3,32,35,1
57,1,2,1,0,0,0,0,1,0,2,1,42,10,1
58,0,3,0,0,0,1,0,0,0,3,0,84,7,1
59,1,2,1,1,2,0,0,1,3,0,2,10,6,0
60,0,3,0,5,2,0,0,3,7,0,3,33,5,0
61,0,3,0,0,0,1,0,0,0,2,0,66,7,1
62,1,1,1,0,0,1,6,1,0,5,3,38,80,1
63,0,1,0,1,0,0,1,0,1,6,3,45,41,0
64,0,3,0,3,2,0,0,3,5,0,2,12,4,0
65,0,1,0,0,0,1,0,0,0,4,2,32,27,1
66,1,3,0,1,1,1,0,3,2,0,2,21,5,0
67,1,2,1,0,0,0,7,2,0,3,1,58,10,1
68,0,3,0,0,0,0,0,0,0,1,1,57,8,1
69,1,3,1,4,2,0,0,1,6,1,0,51,1,0
70,0,3,0,2,0,0,0,0,2,3,1,78,2,0
71,0,2,0,0,0,0,0,0,0,4,1,64,10,1
72,0,3,1,5,2,0,0,1,7,1,3,48,5,0
73,0,2,0,0,0,0,0,0,0,2,3,42,73,1
74,0,3,0,1,0,1,0,0,1,3,1,78,7,0
75,1,3,0,0,0,0,0,0,0,4,3,96,56,1
76,0,3,0,0,0,0,7,0,0,3,0,75,7,1
77,0,3,0,0,0,0,0,0,0,4,0,96,7,1
78,0,3,0,0,0,0,0,0,0,4,1,96,8,1
79,1,2,0,0,2,0,0,3,2,0,2,0,9,0
80,1,3,1,0,0,0,0,1,0,3,1,90,12,1
81,0,3,0,0,0,0,0,0,0,2,1,66,9,1
82,1,3,0,0,0,0,0,0,0,3,1,87,9,1
83,1,3,1,0,0,2,0,1,0,2,0,63,7,1
84,0,1,0,0,0,0,0,0,0,3,3,28,47,1
85,1,2,1,0,0,0,0,1,0,1,1,34,10,1
86,1,3,1,3,0,0,0,2,3,5,2,99,3,0
87,0,3,0,1,3,0,0,0,4,1,3,48,6,0
88,0,3,0,0,0,0,0,0,0,4,1,96,8,1
89,1,1,1,3,2,0,1,1,5,2,3,23,43,0
90,0,3,0,0,0,0,0,0,0,2,1,72,8,1
91,0,3,0,0,0,0,0,0,0,3,1,87,8,1
92,0,3,0,0,0,0,0,0,0,1,0,60,7,1
93,0,1,0,1,0,0,2,0,1,6,3,46,30,0
94,0,3,0,1,2,0,0,0,3,3,2,78,5,0
95,0,3,0,0,0,0,0,0,0,6,0,177,7,1
96,0,3,0,0,0,0,0,0,0,4,1,96,8,1
97,0,1,0,0,0,1,5,0,0,7,3,71,34,1
98,1,1,0,0,1,1,4,0,1,2,3,23,31,0
99,1,2,1,0,1,0,0,2,1,5,2,68,11,0
100,0,2,0,1,0,0,0,0,1,5,2,68,13,0
101,0,3,1,0,0,0,0,1,0,3,0,84,7,1
102,0,3,0,0,0,0,0,0,0,4,0,96,7,1
103,0,1,0,0,1,0,4,0,1,2,3,21,38,0
104,0,3,0,0,0,0,0,0,0,5,1,99,8,1
105,0,3,0,2,0,0,0,0,2,5,0,111,2,0
106,0,3,0,0,0,0,0,0,0,3,0,84,7,1
107,1,3,1,0,0,0,0,1,0,2,0,63,7,1
108,1,3,0,0,0,0,0,0,0,4,0,96,7,1
109,0,3,0,0,0,0,0,0,0,5,0,114,7,1
110,1,3,1,1,0,2,0,1,1,2,2,63,12,0
111,0,1,0,0,0,0,1,0,0,6,3,47,52,1
112,0,3,1,1,0,1,0,1,1,1,1,42,7,0
113,0,3,0,0,0,0,0,0,0,2,1,66,8,1
114,0,3,1,1,0,0,0,1,1,1,1,60,4,0
115,0,3,1,0,0,1,0,1,0,1,1,51,14,1
116,0,3,0,0,0,0,0,0,0,2,0,63,7,1
117,0,3,0,0,0,2,0,0,0,7,0,210,7,1
118,0,2,0,1,0,0,0,0,1,3,2,58,10,0
119,0,1,0,0,1,1,6,0,1,2,3,24,123,0
120,0,3,1,4,2,0,0,1,6,0,2,6,4,0
121,0,2,0,2,0,0,0,0,2,2,3,42,24,0
122,0,3,0,0,0,0,0,0,0,4,1,96,8,1
123,0,2,0,1,0,1,0,0,1,4,2,64,15,0
124,1,2,1,0,0,0,2,1,0,4,1,64,13,1
125,0,1,0,0,1,0,4,0,1,6,3,54,38,0
126,1,3,0,1,0,1,0,3,1,1,1,36,5,0
127,0,3,0,0,0,2,0,0,0,4,0,96,7,1
128,1,3,0,0,0,0,0,0,0,2,0,72,7,1
129,1,3,1,1,1,1,7,1,2,2,2,63,7,0
130,0,3,0,0,0,0,0,0,0,6,0,135,6,1
131,0,3,0,0,0,1,0,0,0,5,0,99,7,1
132,0,3,0,0,0,0,0,0,0,1,0,60,7,1
133,0,3,1,1,0,0,0,2,1,6,1,141,7,0
134,1,2,1,1,0,0,0,2,1,3,2,58,13,0
135,0,2,0,0,0,0,0,0,0,3,1,50,13,1
136,0,2,0,0,0,1,0,0,0,2,2,46,15,1
137,1,1,1,0,2,0,4,1,2,1,2,19,8,0
138,0,1,0,1,0,0,1,0,1,5,3,37,26,0
139,0,3,0,0,0,0,0,0,0,1,1,48,9,1
140,0,1,0,0,0,1,6,0,0,2,3,24,79,1
141,0,3,1,0,2,1,0,2,2,5,2,114,5,0
142,1,3,1,0,0,0,0,1,0,2,0,66,7,1
143,1,3,1,1,0,0,0,2,1,2,2,72,7,0
144,0,3,0,0,0,2,0,0,0,1,0,57,6,1
145,0,2,0,0,0,0,0,0,0,1,1,36,11,1
146,0,2,0,1,1,0,0,0,2,1,3,38,12,0
147,1,3,0,0,0,0,0,0,0,3,0,81,7,1
148,0,3,1,2,2,0,0,1,4,0,3,27,6,0
149,0,2,0,0,2,0,7,0,2,5,2,72,8,0
150,0,2,0,0,0,0,0,4,0,6,1,84,13,1
151,0,2,0,0,0,0,0,4,0,6,1,102,12,1
152,1,1,1,1,0,0,1,2,1,2,3,22,33,0
153,0,3,0,0,0,0,0,0,0,6,1,165,8,1
154,0,3,0,0,2,0,0,0,2,5,1,120,4,0
155,0,3,0,0,0,0,0,0,0,4,0,96,7,1
156,0,1,0,0,1,1,0,0,1,6,3,51,30,0
157,1,3,1,0,0,2,0,1,0,1,0,48,7,1
158,0,3,0,0,0,0,0,0,0,3,1,90,8,1
159,0,3,0,0,0,0,0,0,0,4,1,96,8,1
160,0,3,0,8,2,0,0,3,10,0,3,21,6,0
161,0,3,0,0,1,0,0,0,1,6,2,132,8,0
162,1,2,1,0,0,0,0,2,0,5,2,80,15,1
163,0,3,0,0,0,0,0,0,0,3,0,78,7,1
164,0,3,0,0,0,0,0,0,0,1,1,51,8,1
165,0,3,0,4,1,0,0,3,5,0,3,3,6,0
166,1,3,0,0,2,0,0,3,2,0,2,27,6,0
167,1,1,1,0,1,0,2,2,1,5,3,38,27,0
168,0,3,1,1,4,0,0,2,5,6,2,135,4,0
169,0,1,0,0,0,0,0,0,0,4,2,32,25,1
170,0,3,0,0,0,0,0,0,0,3,3,84,56,1
171,0,1,0,0,0,0,6,0,0,6,3,61,33,1
172,0,3,0,4,1,2,0,3,5,0,2,12,4,0
173,1,3,1,1,1,0,0,1,2,0,1,3,3,0
174,0,3,0,0,0,0,0,0,0,2,0,63,7,1
175,0,1,0,0,0,1,5,0,0,6,2,56,30,1
176,0,3,0,1,1,0,0,0,2,1,0,54,2,0
177,0,3,0,3,1,0,0,3,4,0,2,21,5,0
178,0,1,1,0,0,1,1,1,0,6,2,50,28,1
179,0,2,0,0,0,0,0,0,0,3,1,60,13,1
180,0,3,0,0,0,0,0,0,0,5,0,108,0,1
181,0,3,1,8,2,0,0,1,10,2,3,63,6,0
182,0,2,0,0,0,1,0,0,0,4,2,64,15,1
183,0,3,0,4,2,0,0,3,6,0,2,27,4,0
184,1,2,0,2,1,0,7,3,3,0,3,2,9,0
185,1,3,1,0,2,0,0,1,2,0,2,12,7,0
186,0,1,0,0,0,0,5,0,0,4,3,32,50,1
187,1,3,1,1,0,2,0,2,1,5,2,114,7,0
188,1,1,0,0,0,0,0,0,0,6,2,45,26,1
189,0,3,0,1,1,2,0,0,2,5,2,120,5,0
190,0,3,0,0,0,0,0,0,0,5,0,108,7,1
191,1,2,1,0,0,0,0,2,0,4,1,64,13,1
192,0,2,0,0,0,0,0,0,0,1,1,38,13,1
193,1,3,1,1,0,0,0,1,1,1,0,57,3,0
194,1,2,0,1,1,0,7,3,2,0,2,6,8,0
195,1,1,1,0,0,1,6,2,0,6,2,44,27,1
196,1,1,1,0,0,1,6,1,0,6,3,58,146,1
197,0,3,0,0,0,2,0,0,0,4,0,96,7,1
198,0,3,0,0,1,0,0,0,1,6,1,126,4,0
199,1,3,1,0,0,2,0,1,0,2,0,63,7,1
200,0,2,1,0,0,0,0,2,0,2,1,48,13,1
201,0,3,0,0,0,0,0,0,0,3,1,84,9,1
202,0,3,0,8,2,0,0,0,10,4,3,96,6,0
203,0,3,0,0,0,0,0,0,0,5,0,102,6,1
204,0,3,0,0,0,1,0,0,0,6,0,135,7,1
205,1,3,0,0,0,0,0,0,0,1,1,54,8,1
206,0,3,1,0,1,0,3,1,1,0,1,6,5,0
207,0,3,0,1,0,0,0,0,1,4,2,96,7,0
208,1,3,0,0,0,1,0,0,0,3,2,78,18,1
209,1,3,1,0,0,2,0,1,0,1,0,48,7,1
210,1,1,0,0,0,1,5,0,0,5,2,40,31,1
211,0,3,0,0,0,0,0,0,0,2,0,72,7,1
212,1,2,1,0,0,0,0,1,0,5,2,70,21,1
213,0,3,0,0,0,0,0,0,0,2,0,66,7,1
214,0,2,0,0,0,0,0,0,0,3,1,60,13,1
215,0,3,0,1,0,2,0,0,1,4,0,96,3,0
216,1,1,1,1,0,1,4,1,1,4,3,31,56,0
217,1,3,1,0,0,0,0,1,0,3,0,81,7,1
218,0,2,0,1,0,0,0,0,1,6,2,84,13,0
219,1,1,1,0,0,1,4,1,0,4,3,32,76,1
220,0,2,0,0,0,0,0,0,0,3,1,60,10,1
221,1,3,0,0,0,0,0,0,0,1,1,48,8,1
222,0,2,0,0,0,0,0,0,0,3,1,54,13,1
223,0,3,0,0,0,0,0,0,0,6,1,153,8,1
224,0,3,0,0,0,0,0,0,0,4,0,96,7,1
225,1,1,0,1,0,0,1,0,1,5,3,38,45,0
226,0,3,0,0,0,0,0,0,0,2,1,66,9,1
227,1,2,0,0,0,0,0,0,0,1,1,38,10,1
228,0,3,0,0,0,0,0,0,0,1,0,60,7,1
229,0,2,0,0,0,0,0,0,0,1,1,36,13,1
230,0,3,1,3,1,0,0,1,4,2,2,63,5,0
231,1,1,1,1,0,0,1,2,1,5,3,35,41,0
232,0,3,0,0,0,0,0,0,0,3,0,87,7,1
233,0,2,0,0,0,0,0,0,0,6,1,118,13,1
234,1,3,1,4,2,0,0,1,6,0,2,15,4,0
235,0,2,0,0,0,0,0,0,0,2,1,48,10,1
236,0,3,1,0,0,0,0,1,0,2,0,63,7,1
237,0,2,0,1,0,0,0,0,1,6,2,88,13,0
238,1,2,1,0,2,0,0,1,2,0,2,16,8,0
239,0,2,0,0,0,0,0,0,0,1,1,38,10,1
240,0,2,0,0,0,0,0,0,0,5,1,66,12,1
241,0,3,1,1,0,1,0,1,1,2,1,63,7,0
242,1,3,1,1,0,2,0,1,1,2,2,63,7,0
243,0,2,0,0,0,0,0,0,0,3,1,58,10,1
244,0,3,0,0,0,0,0,0,0,2,0,66,7,1
245,0,3,0,0,0,1,0,0,0,3,0,90,7,1
246,0,1,0,2,0,2,1,4,2,6,3,44,30,0
247,0,3,1,0,0,0,0,1,0,3,0,75,7,1
248,1,2,1,0,2,0,0,2,2,2,1,48,4,0
249,1,1,0,1,1,0,4,0,2,5,3,37,17,0
250,0,2,0,1,0,0,0,4,1,6,2,108,13,0
251,0,3,0,0,0,0,0,0,0,4,0,96,7,1
252,0,3,1,1,1,0,3,2,2,3,1,87,3,0
253,0,1,0,0,0,0,1,0,0,6,2,62,26,1
254,0,3,0,1,0,0,0,0,1,3,2,90,8,0
255,0,3,1,0,2,0,0,2,2,6,2,123,6,0
256,1,3,1,0,2,1,0,2,2,3,2,87,5,0
257,1,1,1,0,0,1,0,2,0,5,3,38,79,1
258,1,1,1,0,0,0,6,1,0,3,3,30,86,1
259,1,1,1,0,0,1,0,1,0,5,3,35,512,1
260,1,2,1,0,1,0,0,2,1,6,2,100,13,0
261,0,3,0,0,0,2,0,0,0,4,0,96,7,1
262,1,3,0,4,2,0,0,3,6,0,2,9,4,0
263,0,1,0,1,1,0,2,0,2,6,3,52,26,0
264,0,1,0,0,0,0,6,0,0,5,0,40,0,1
265,0,3,1,0,0,2,0,1,0,2,0,63,7,1
266,0,2,0,0,0,0,0,0,0,5,1,72,10,1
267,0,3,0,4,1,0,0,0,5,1,3,48,6,0
268,1,3,0,1,0,0,0,0,1,3,0,75,3,0
269,1,1,1,0,1,0,1,2,1,6,3,58,76,0
270,1,1,1,0,0,0,1,1,0,5,3,35,135,1
271,0,1,0,0,0,0,0,0,0,4,2,32,31,1
272,1,3,0,0,0,0,0,0,0,3,0,75,0,1
273,1,2,1,0,1,0,0,2,1,6,2,82,9,0
274,0,1,0,0,1,1,1,0,1,5,2,37,14,0
275,1,3,1,0,0,2,0,1,0,2,0,63,7,1
276,1,1,1,1,0,0,4,1,1,6,3,63,38,0
277,0,3,1,0,0,0,0,1,0,6,0,135,7,1
278,0,2,0,0,0,0,0,0,0,4,0,64,0,1
279,0,3,0,4,1,2,0,3,5,0,2,21,4,0
280,1,3,1,1,1,0,0,2,2,5,2,105,6,0
281,0,3,0,0,0,2,0,0,0,6,0,195,7,1
282,0,3,0,0,0,0,0,0,0,3,0,84,7,1
283,0,3,0,0,0,0,0,0,0,1,1,48,9,1
284,1,3,0,0,0,0,0,0,0,1,1,57,8,1
285,0,1,0,0,0,0,5,0,0,4,2,32,26,1
286,0,3,0,0,0,1,0,0,0,5,1,99,8,1
287,1,3,0,0,0,0,0,0,0,3,1,90,9,1
288,0,3,0,0,0,0,0,0,0,2,0,66,7,1
289,1,2,0,0,0,0,0,0,0,6,1,84,13,1
290,1,3,1,0,0,2,0,1,0,2,0,66,7,1
291,1,1,1,0,0,0,0,1,0,3,3,26,78,1
292,1,1,1,1,0,1,6,2,1,1,3,19,45,0
293,0,2,0,0,0,1,4,0,0,5,1,72,12,1
294,0,3,1,0,0,0,0,1,0,2,1,72,8,1
295,0,3,0,0,0,0,0,0,0,2,0,72,7,1
296,0,1,0,0,0,1,0,0,0,4,2,32,27,1
